material,process,energy_use,water_use,waste,transport_km,emissions,end_of_life,impact_score
Steel,Extrusion,364.17277130888533,45.17525647933773,26.435007471674684,269.0886268985469,83.6142976000988,Incinerated,10.36785807342765
Plastic,Casting,291.2433648548542,112.96118000188805,24.479912003856818,254.50901108127982,77.63014049219818,Recycled,4.865766366171331
Aluminium,Casting,189.28742732884749,175.85970881651758,2.256461224515349,907.1920347158264,59.48525038827946,Recycled,58.10150933751095
Steel,Injection Molding,416.2077588681269,149.12272841781663,17.72114355368166,257.05073785101104,95.82447864313365,Incinerated,42.607097762609705
Steel,Extrusion,358.1290276492457,163.24661809367544,19.629585320506997,279.2302288673447,24.045078975198265,Landfill,54.80323566642401
Plastic,Casting,123.17762270520109,135.16883967503628,20.542316263948123,761.8042797937841,15.380099979414034,Incinerated,52.10731905083878
Aluminium,Injection Molding,459.9172330222291,141.53254725839196,29.428446092139282,455.2424440260346,86.12638686076511,Incinerated,35.02029910907303
Aluminium,Extrusion,420.14175931542604,171.34717379741068,27.146524789617043,778.9434513856294,46.71923258020609,Landfill,67.7473414823473
Steel,Injection Molding,477.4099609813658,57.43692168324533,30.787349546878787,74.7124959887414,85.46204114967074,Incinerated,75.85018809163907
Copper,Rolling,376.573778774762,102.9907430921967,38.47927981556428,492.69548173665044,89.84356949356442,Incinerated,1.4628258877675715
Steel,Casting,326.03683817110544,52.02979394572442,40.83630119708858,43.27746418144981,10.933471393811786,Incinerated,20.72422997688783
Steel,Rolling,238.2093663307785,197.65692151936292,36.18803073509822,72.02667142080098,88.92915248367576,Landfill,71.32358680833369
Steel,Extrusion,469.72781750930596,189.3712745404565,47.8206611017918,907.3730788109668,47.59031026009511,Recycled,38.66201726338342
Steel,Rolling,439.72875027518376,17.49109416001612,1.89339655114172,147.8529174064192,53.49108645540206,Recycled,66.24839469416082
Plastic,Rolling,70.34840154778523,144.0592827779808,10.59312129849376,537.0964754524649,64.52628855385498,Landfill,34.696265973455844
Aluminium,Extrusion,61.865138523763406,185.7971803089765,1.3705808739289638,416.98464657469947,93.00634763935824,Recycled,39.07551523296371
Plastic,Injection Molding,219.4085150951223,44.30931557419337,32.72626099357555,353.86989299625424,6.816028970827583,Incinerated,15.867887368968493
Plastic,Rolling,414.7489988518248,117.9095938049996,45.00349689854936,900.8350122303998,50.300129490192624,Recycled,25.823101966616
Plastic,Injection Molding,494.274258191725,183.94277654172794,12.930632532238665,31.605162807734605,70.33359403090327,Incinerated,60.541175750758725
Steel,Rolling,117.68760099658768,16.44973593130178,46.424692695019026,667.1517893138332,73.6571609813317,Recycled,43.31631113151664
Copper,Injection Molding,317.3588219084608,142.50985077689958,3.9531021241884816,963.760489871415,70.79058099602526,Landfill,77.43026829445951
Aluminium,Extrusion,221.40088548395968,66.49631140078465,46.787365313470204,564.5665016272235,17.771337293771577,Recycled,85.25849549383427
Copper,Rolling,486.46147901657145,185.63527712154078,18.229511674742085,937.4542374127609,33.44258089530972,Recycled,54.164641821675986
Plastic,Extrusion,428.9535154110689,194.50106658141988,5.96962059401161,61.73530049316353,39.07797491461628,Recycled,75.82672920560591
Plastic,Rolling,427.247917120012,189.41063293155244,24.807716200129956,424.6053858834198,81.42153472955297,Landfill,30.690451319457
Copper,Extrusion,260.91192190773666,100.10070116491812,13.582051818304889,267.5562130524306,31.482187879382536,Recycled,41.49712154000782
Copper,Extrusion,236.66877605194932,173.78810368796954,14.958772196134218,733.5127553309225,25.0169715673843,Landfill,71.2777676216831
Copper,Rolling,173.0331823688178,170.46438572166338,16.057208281388043,981.4841195922742,95.95756180861913,Incinerated,38.62119928170307
Plastic,Rolling,75.3689734929172,70.62908991621856,40.34826899380051,263.9647618198053,5.842012085779546,Recycled,58.85049351589888
Plastic,Rolling,439.12506931477395,167.4939400886287,27.41890255708747,657.6328554593338,99.79298128978793,Landfill,18.53727790825115
Aluminium,Casting,415.8054541085349,17.031450595943596,16.25407725864418,206.11665643214272,69.29802339145259,Landfill,59.9771314970498
Aluminium,Injection Molding,499.87295297875875,123.29127691159007,30.906355382235,569.6769520258938,83.70458344766612,Recycled,86.15137072268936
Plastic,Casting,498.4865766832574,53.70167908466358,36.091383036936485,469.2931618214528,32.98884265288835,Incinerated,86.86396398234257
Copper,Casting,299.9442675211824,32.90770829768297,14.358576035943155,972.2852763352217,6.359951378370698,Landfill,72.43444063295397
Copper,Extrusion,396.0443368312297,24.62110830954974,21.263905974742226,612.4419999695019,75.09760426334536,Recycled,74.5753379076126
Aluminium,Rolling,475.1445784470926,142.29486741684656,6.9724185735104305,356.0113083659506,84.2437367150642,Incinerated,55.79274451507007
Plastic,Injection Molding,432.34132580483515,74.57624311593257,9.876318127199335,122.95482703905404,75.34523253558432,Landfill,58.466809016582474
Aluminium,Extrusion,161.30664578443896,147.70568659046467,34.37477484428416,159.7343604475852,18.570777293579667,Landfill,13.3650581410518
Aluminium,Casting,252.74486088954208,22.41770475179905,9.89047903708572,233.06376065172273,76.57565261441206,Incinerated,44.38591884213011
Steel,Rolling,108.12173681817274,69.90516418781596,26.733005799685948,258.456994726895,78.04766430022589,Incinerated,45.077628388636384
Steel,Extrusion,479.32296226642507,112.50334555131407,35.7432668243992,852.1098972627265,67.56134898865521,Recycled,95.84978356677402
Steel,Rolling,322.778585502896,160.23740131940306,6.236969231642448,565.6105603996997,77.78101361558069,Recycled,43.108686262328945
Copper,Extrusion,152.88926247655823,70.56297555709328,28.798298761816273,528.1570022606228,85.36253676938455,Landfill,54.934264490275766
Plastic,Rolling,352.26530798263553,128.91936152303174,13.571576401366825,123.6211831505253,63.29239085255855,Incinerated,53.32513992791025
Plastic,Casting,328.15770820605314,178.33577216487555,48.18341688664141,861.5382964159406,13.41744782711951,Incinerated,63.67617170443272
Plastic,Injection Molding,211.17322311477824,127.01400575463786,24.69373668927631,725.5861601763988,51.32464191838503,Incinerated,74.82328313318959
Plastic,Casting,101.10091648983305,54.262300203190414,40.493634938982744,76.99167828100157,12.376686793802481,Landfill,22.50418761708721
Steel,Injection Molding,352.20793801675984,14.636148495742223,27.961100565656828,710.756746257471,43.71658794808093,Incinerated,52.87244190984357
Copper,Rolling,284.138465406707,175.31878604117668,3.127214109886139,548.1028351692196,43.675116466934625,Incinerated,82.59177073160305
Copper,Extrusion,397.5432762810377,14.041188061573557,32.0244174041071,90.90809228931047,11.27093519332295,Landfill,46.31147138375115
Steel,Casting,284.07357550039706,176.1933178099979,47.61876376812619,463.7176351133699,38.13795072710054,Recycled,27.845754637357302
Copper,Injection Molding,433.48167514334307,110.49805546517028,30.47897918717023,489.8493242587465,15.54481938517491,Recycled,65.4709075356299
Steel,Casting,298.3580774485185,188.42286271745027,41.14025411191272,174.116794761643,81.78234495087611,Landfill,82.3767395799123
Plastic,Injection Molding,302.42208719092383,161.76881479699642,44.326116704071985,946.2411655302795,95.03036246662472,Incinerated,6.314029292739132
Steel,Casting,444.49412119625526,199.60748100133412,12.175908825497691,851.4756177658553,11.870065149504168,Landfill,77.67904834072272
Plastic,Injection Molding,231.56728979557866,76.63524493582493,11.390197155503106,672.3321139558172,95.73594469271163,Recycled,82.16479329617712
Plastic,Injection Molding,110.30685280278833,155.7657748969141,30.938068453698595,467.6726053906011,54.64477693699079,Recycled,46.15229275886068
Aluminium,Rolling,62.95220434100254,86.36687358575601,21.14039502052853,417.64788616866343,33.45873940561802,Landfill,98.33056568184674
Steel,Injection Molding,389.81176505312857,101.17636785774268,42.153203840469295,654.4637324794446,12.301897151235533,Landfill,78.6708340707309
Aluminium,Rolling,329.1392981090591,129.22603801149032,45.10113304650255,549.9775507128364,52.55930546668969,Recycled,77.36625648956658
Steel,Injection Molding,366.83589564465063,175.99865169540436,18.317647585833186,71.65037482306676,80.47897672662113,Landfill,74.78385744120718
Steel,Extrusion,145.83387267900983,196.97585914786606,12.606657389749621,517.3776222826284,72.17321534033633,Recycled,15.0608103218274
Aluminium,Extrusion,111.3671640140464,155.97194863425847,39.24575024694923,808.3395810605111,9.771471089077508,Landfill,21.723088645301083
Aluminium,Extrusion,56.545099550546865,89.37568861179342,14.46549574185867,464.64747882098845,11.925674359950833,Landfill,46.3990131464425
Steel,Injection Molding,207.76440146296864,90.05783043264333,41.308101607170244,61.437011778725726,43.27296185010052,Landfill,26.400434995946586
Copper,Rolling,315.4629590845849,150.14063730188937,21.76317442878938,788.4154173901927,33.052596934554614,Recycled,41.52409723340404
Plastic,Rolling,226.50982029487955,55.36765769597744,33.70994506528205,209.35014431461465,27.076510690324543,Landfill,88.84641099229206
Aluminium,Injection Molding,246.86371491067808,30.990081494964986,5.681230377898741,266.0346265391584,31.69542739632779,Recycled,82.43268918792693
Plastic,Extrusion,456.8714125221868,77.37820995174754,31.569106909152076,173.05928989797295,81.33086061320404,Recycled,63.003987847998225
Copper,Extrusion,206.71496016048516,64.57540841427553,23.136616258124228,336.91291422278255,93.27666509502612,Landfill,85.81203942511036
Copper,Rolling,281.2952701219149,66.29854288663812,29.743814695598232,759.1839906317487,43.48475598011881,Landfill,78.37723890172492
Copper,Extrusion,402.6438557335144,54.38547269948289,9.232696179498308,524.192000908898,91.08054520258722,Recycled,42.89849318408905
Aluminium,Casting,228.44425204457158,17.99770603090876,37.10681350226493,212.83246140920542,35.54209161854878,Recycled,20.106515204994512
Copper,Rolling,329.93901510254307,13.396047599348623,43.2770567996182,879.0517773705204,50.2615137026602,Incinerated,51.42010400093392
Aluminium,Extrusion,438.06366893603536,197.667254049846,11.620250204448007,880.7860364020139,26.472754792519975,Recycled,73.622888252855
Copper,Rolling,477.28428064593896,91.27689540981385,5.690013220487924,871.8726407955469,65.84522400670518,Incinerated,43.641959872959305
Plastic,Casting,116.18306641806707,83.02206296033953,2.1582907162704834,246.40824926772387,98.00320594160685,Incinerated,66.67719097838972
Plastic,Rolling,466.96443132267245,139.13298371168327,32.456603521720034,456.7269507391782,62.33184412412097,Incinerated,9.432742629104363
Steel,Rolling,271.4523318857922,51.46823869436219,30.747607768350257,985.1397595794664,38.99233799078714,Landfill,74.80047363714034
Plastic,Rolling,166.20997473453127,190.49262495054282,27.788173222989432,774.2923515468905,66.5426573691002,Landfill,81.2713619893062
Steel,Rolling,256.6110903072176,159.4055527389549,12.365407709682795,36.89574701330422,16.67746445421182,Recycled,70.68378557805411
Plastic,Casting,491.0146588784647,26.98809043932931,20.15439379937022,74.55254534788713,89.42261262521286,Incinerated,96.72635875263656
Aluminium,Injection Molding,271.6781422967913,89.34034739913639,30.12934042412248,469.29206304420944,52.79297532408445,Landfill,82.66520574606405
Plastic,Rolling,197.9382246293787,177.0324784368113,25.341576084099298,910.1280038029446,47.688225493766,Landfill,90.30937278765383
